模板id;机型
26442;iPhone7,1,,iPhone7,2
25628;iPhone7,1,,iPhone7,2
26048;iPhone7,1,,iPhone7,2
24627;iPhone7,1,,iPhone7,2
25620;iPhone7,1,,iPhone7,2
25621;iPhone7,1,,iPhone7,2
30097;iPhone7,1,,iPhone7,2
30096;iPhone7,1,,iPhone7,2
25624;iPhone7,1,,iPhone7,2
29301;iPhone7,1,,iPhone7,2
25626;iPhone7,1,,iPhone7,2
28285;iPhone7,1,,iPhone7,2
28284;iPhone7,1,,iPhone7,2
28287;iPhone7,1,,iPhone7,2
25151;iPhone7,1
29884;iPhone7,1,,iPhone7,2
28449;iPhone7,1,,iPhone7,2
29886;iPhone7,1,,iPhone7,2
28282;iPhone7,1,,iPhone7,2
29888;iPhone7,1,,iPhone7,2
25159;iPhone7,1
33186;iPhone7,1,,iPhone7,2
30326;iPhone7,1,,iPhone7,2
30324;iPhone7,1,,iPhone7,2
24331;iPhone7,1
24333;iPhone7,1
38969;iPhone7,1,,iPhone7,2
27021;iPhone7,1,,iPhone7,2
24337;iPhone7,1
27187;iPhone7,1,,iPhone7,2
38964;iPhone7,1,,iPhone7,2
38967;iPhone7,1,,iPhone7,2
26800;iPhone7,1,,iPhone7,2
38963;iPhone7,1,,iPhone7,2
26216;iPhone7,1,,iPhone7,2
26217;iPhone7,1,,iPhone7,2
26193;iPhone7,1,,iPhone7,2
26192;iPhone7,1,,iPhone7,2
30956;iPhone7,1,,iPhone7,2
30953;iPhone7,1,,iPhone7,2
28942;iPhone7,1,,iPhone7,2
28608;iPhone7,1,,iPhone7,2
40740;iPhone7,1,,iPhone7,2
24439;iPhone7,1
28947;iPhone7,1,,iPhone7,2
28944;iPhone7,1,,iPhone7,2
29767;iPhone7,1,,iPhone7,2
28602;iPhone7,1,,iPhone7,2
24436;iPhone7,1
24437;iPhone7,1
24435;iPhone7,1
30991;iPhone7,1,,iPhone7,2
27898;iPhone7,1,,iPhone7,2
20700;iPhone7,2,,iPhone7,1,,iPhone8,1,,OPPO_PBBM30,,OPPO_PBAM00,,OPPO_PBAT00,,OPPO_PBBT30,,OPPO_A33,,OPPO_A33m,,OPPO_A37m,,OPPO_PBAM00,,OPPO_PBAT00,,OPPO_PBBT30,,OPPO_A57,,OPPO_A59m,,OPPO_A79t,,OPPO_R7Plusm,,OPPO_PACT00,,OPPO_A73,,OPPO_A73t,,VIVO_V1818A,,VIVO_Y71,,VIVO_Y71A,,VIVO_X6S A,,VIVO_X7,,VIVO_X7Plus,,VIVO_X9 Plus,,VIVO_X9 Plus L,,VIVO_Y66i,,VIVO_Y66i A,,HONOR_MOA-AL00,,HONOR_MOA-AL20,,HONOR_LLD-AL20,,HONOR_BKK-AL00,,HONOR_PRA-AL00,,HONOR_PRA-AL00X
27897;iPhone7,1,,iPhone7,2
31099;iPhone7,1,,iPhone7,2
31122;iPhone7,1,,iPhone7,2
20871;iPhone7,2,,OPPO_A57,,OPPO_A83t,,OPPO_PCAM10,,OPPO_R9 Plustm A
34400;iPhone7,1,,iPhone7,2
24522;iPhone7,1
34182;iPhone7,1,,iPhone7,2
21156;iPhone7,1,,iPhone7,2
31090;iPhone7,1,,iPhone7,2
30980;iPhone7,1,,iPhone7,2
32392;iPhone7,1,,iPhone7,2
26368;iPhone7,1,,iPhone7,2
26063;iPhone7,1,,iPhone7,2
44704;iPhone7,1,,iPhone7,2
26890;iPhone7,1,,iPhone7,2
26587;iPhone7,1,,iPhone7,2
26462;iPhone7,1,,iPhone7,2
26461;iPhone7,1,,iPhone7,2
26460;iPhone7,1,,iPhone7,2
27296;iPhone7,1,,iPhone7,2
26717;iPhone7,1,,iPhone7,2
27294;iPhone7,1,,iPhone7,2
24648;iPhone7,1
31230;iPhone7,1,,iPhone7,2
24722;iPhone7,1
24723;iPhone7,1
26263;iPhone7,1,,iPhone7,2
11845;iPhone7,1,,iPhone7,2
24645;iPhone7,1
28594;iPhone7,1,,iPhone7,2
22191;iPhone7,2,,iPhone7,1,,iPhone8,1,,iPhone8,2,,iPhone9,1,,iPhone9,3,,iPhone10,1,,iPhone10,4,,iPhone11,8,,iPhone10,3,,iPhone10,6,,OPPO_PADT00,,OPPO_A33m,,OPPO_A33,,OPPO_A37m,,OPPO_PBBM30,,OPPO_PBAM00,,OPPO_PBAT00,,OPPO_PBBT30,,OPPO_A52,,OPPO_A57,,OPPO_A59s,,OPPO_A59m,,OPPO_A57t,,OPPO_PBFM00,,OPPO_A73,,OPPO_A73t,,OPPO_PBBM00,,OPPO_A77,,OPPO_A77t,,OPPO_A79,,OPPO_A83t,,OPPO_A83,,OPPO_PCAM10,,OPPO_PCEM00,,OPPO_R7sm,,OPPO_R9s Plus,,OPPO R9m,,OPPO R9tm,,OPPO_R9 Plusm A,,OPPO_R9s,,OPPO_R9sk,,OPPO_R11,,OPPO_R11s,,OPPO_PACM00,,OPPO_PBEM00,,OPPO_Reno,,VIVO_X20,,VIVO_X20A,,VIVO_X21,,VIVO_X21A,,VIVO_V1816A,,VIVO_V1816T,,VIVO_X6s,,VIVO_X7,,VIVO_X7Plus,,VIVO_X9 Plus,,VIVO_X9s Plus,,VIVO_X9,,VIVO_X9i,,VIVO_X9L,,VIVO_V1930A,,VIVO_V1930T,,VIVO_Y51A,,VIVO_Y55,,VIVO_Y55A,,VIVO_Y66,,VIVO_Y66L,,VIVO_Y66i,,VIVO_Y66i A,,VIVO_Y67,,VIVO_Y67A,,VIVO_Y71,,VIVO_Y71A,,VIVO_Y79,,VIVO_Y79A,,VIVO_V1732A,,VIVO_V1732T,,VIVO_Y83,,VIVO_Y83A,,VIVO_Y85,,VIVO_Y85A,,VIVO_V1818CT,,VIVO_V3Max,,VIVO_V3Max A,,VIVO_Z1,,VIVO_Z1i,,Xiaomi_Mi 8,,Xiaomi_MI 8 Lite,,Xiaomi_Redmi 8A,,Xiaomi_Redmi 7A,,HUAWEI_DUB-AL00,,HUAWEI_DUB-AL20,,HUAWEI_ART-AL00x,,HUAWEI_ART-AL00m,,HONOR_KSA-AL10,,HONOR_JAT-AL00,,STK-AL00,,HONOR_PRA-AL00,,HONOR_PRA-AL00X,,HONOR_JSN-AL00a,,HONOR_JSN-AL00,,HONOR_BND-AL00,,HONOR_BND-AL10,,HONOR_TRT-AL00A,,HONOR_TRT-AL00,,HONOR_SLA-AL00,,HONOR_TRT-TL10A,,HONOR_TRT-TL10,,HONOR_KSA-AL10
28596;iPhone7,1,,iPhone7,2
17761;iPhone7,1,,iPhone7,2
27956;iPhone7,1,,iPhone7,2
39796;iPhone7,1,,iPhone7,2
21007;OPPO_A57,,OPPO_A59s,,OPPO_A83,,OPPO_A37m,,OPPO_R9sk,,OPPO_R9s Plusm A,,OPPO_PACM00,,OPPO_PCAM10,,OPPO_PBAM00,,OPPO_PBAT00,,OPPO_PBBM00,,OPPO_PBBM30,,OPPO_PBBT30,,OPPO_R11,,OPPO_R9s,,VIVO_V1930A,,VIVO_V1930T,,VIVO_V3Max,,VIVO_V3Max A,,VIVO_X9s,,VIVO_X9s L,,VIVO_Y51A
29197;iPhone7,1,,iPhone7,2
24317;iPhone7,1
34498;iPhone7,1,,iPhone7,2
30337;iPhone7,1,,iPhone7,2
34522;iPhone7,1,,iPhone7,2
32050;iPhone7,1,,iPhone7,2
22585;iPhone7,1,,iPhone7,2
31076;iPhone7,1,,iPhone7,2
30132;iPhone7,1,,iPhone7,2
28969;iPhone7,1,,iPhone7,2
31043;iPhone7,1,,iPhone7,2
30508;iPhone7,1,,iPhone7,2
34527;iPhone7,1,,iPhone7,2
31041;iPhone7,1,,iPhone7,2
28960;iPhone7,1,,iPhone7,2
28961;iPhone7,1,,iPhone7,2
30501;iPhone7,1,,iPhone7,2
27200;iPhone7,1,,iPhone7,2
28965;iPhone7,1,,iPhone7,2
30528;iPhone7,1,,iPhone7,2
32890;iPhone7,1,,iPhone7,2
30989;iPhone7,1,,iPhone7,2
30988;iPhone7,1,,iPhone7,2
30974;iPhone7,1,,iPhone7,2
30981;iPhone7,1,,iPhone7,2
20909;OPPO_A57,,OPPO_PBBM00,,OPPO_PCEM00,,OPPO_R11 Plus,,VIVO_V1731CA,,VIVO_X21,,VIVO_X21A,,HONOR_JAT-AL00
9708;iPhone7,1,,iPhone7,2
32025;iPhone7,1,,iPhone7,2
39040;iPhone7,1,,iPhone7,2
29993;iPhone7,1,,iPhone7,2
41391;iPhone7,1,,iPhone7,2
42577;iPhone7,1,,iPhone7,2
24321;iPhone7,1
30511;iPhone7,1,,iPhone7,2
24667;iPhone7,1
32376;iPhone7,1,,iPhone7,2
24665;iPhone7,1
24664;iPhone7,1
24661;iPhone7,1
24111;iPhone7,1
34204;iPhone7,1,,iPhone7,2
33170;iPhone7,1,,iPhone7,2
45468;iPhone7,1,,iPhone7,2
28604;iPhone7,1,,iPhone7,2
24465;iPhone7,1
25893;iPhone7,1,,iPhone7,2
30343;iPhone7,1,,iPhone7,2
24466;iPhone7,1
